sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9351910507813537
6.9,3.1,5.1,2.3,virginica,0.9765291964231855
5.1,2.5,3.0,1.1,versicolor,0.9507940244382433
4.4,2.9,,0.2,setosa,0.6151764489280843
5.9,3.0,5.1,1.8,virginica,0.7395262217471635
5.5,3.5,1.3,0.2,setosa,0.9461041678854307
5.6,,3.6,1.3,versicolor,0.9491836839696732
6.5,3.0,5.2,2.0,virginica,0.9614220617318311
5.3,3.7,1.5,0.2,setosa,0.9500144751749724
5.1,3.4,1.5,,setosa,0.7566986193282154
6.1,2.8,4.0,1.3,versicolor,0.9748285090159063
5.5,2.4,3.7,1.0,versicolor,0.9585224008537343
7.7,3.0,6.1,2.3,virginica,0.9722190764279598
6.9,3.1,4.9,1.5,versicolor,0.7018726936475116
6.0,2.2,5.0,1.5,virginica,0.816505433579179
